"Player","Season","Date","Day","Comp","Round","Venue","Result","Squad","Opponent","Start","Pos","Min","Gls_Performance","Ast_Performance","PK_Performance","PKatt_Performance","Sh_Performance","SoT_Performance","CrdY_Performance","CrdR_Performance","Touches_Performance","Tkl_Performance","Int_Performance","Blocks_Performance","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons","Fls_Performance","Fld_Performance","Off_Performance","Crs_Performance","TklW_Performance","OG_Performance","PKwon_Performance","PKcon_Performance"
"Marc-André ter Stegen","2022-2023","8/13/22","Sat","La Liga","Matchweek 1","Home","D 0–0","Barcelona","Rayo Vallecano","Y","GK",90,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,56,59,94.9,0,41,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"Marc-André ter Stegen","2022-2023","8/21/22","Sun","La Liga","Matchweek 2","Away","W 4–1","Barcelona","Real Sociedad","Y*","GK",90,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,34,40,85,0,24,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"Marc-André ter Stegen","2022-2023","8/28/22","Sun","La Liga","Matchweek 3","Home","W 4–0","Barcelona","Valladolid","Y","GK",90,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,1,0,25,28,89.3,0,20,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"Marc-André ter Stegen","2022-2023","9/3/22","Sat","La Liga","Matchweek 4","Away","W 3–0","Barcelona","Sevilla","Y","GK",90,0,0,0,0,0,0,0,0,48,0,1,0,0,0,0,0,0,34,45,75.6,0,32,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"Marc-André ter Stegen","2022-2023","9/7/22","Wed","Champions Lg","Group stage","Home","W 5–1","Barcelona","Viktoria Plzeň","Y","GK",90,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,1,0,27,29,93.1,0,16,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"Marc-André ter Stegen","2022-2023","9/10/22","Sat","La Liga","Matchweek 5","Away","W 4–0","Barcelona","Cádiz","Y","GK",90,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,1,1,32,35,91.4,0,29,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"Marc-André ter Stegen","2022-2023","9/13/22","Tue","Champions Lg","Group stage","Away","L 0–2","Barcelona","Bayern Munich","Y","GK",90,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,42,45,93.3,0,30,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"Marc-André ter Stegen","2022-2023","9/17/22","Sat","La Liga","Matchweek 6","Home","W 3–0","Barcelona","Elche","Y*","GK",90,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,19,19,100,0,8,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"Marc-André ter Stegen","2022-2023","9/23/22","Fri","UEFA Nations League","League A","Home","L 0–1","Germany","Hungary","Y","GK",90,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marc-André ter Stegen","2022-2023","9/26/22","Mon","UEFA Nations League","League A","Away","D 3–3","Germany","England","Y","GK",90,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
